BAMIFIX 300MG - CX C/ 20 DRAGEAS,,111389A,144,,78372,02898/1918/2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
"",CHIESI FARMACÊUTICA LTDA,,,,,,,
BAMIFIX 600 CX C/ 20,Chiesi Farmacêutica Ltda,111111 A,12,,78372,02898/ 1918/ 2011,29/11/2011,ROD. BR 101 - MACAÉ - RJ
BARIOGEL GELEIA 100% SUS. ORAL,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,,
- 10 COPOS X 150 ML,FARMACÊUTICOS LTDA.,10107698,20 cxs,,0443976,447/2011,03/05/2011,Registro - SP
BAXTER SOLUÇÃO DE RINGER COM,,,,,,,,
LACTATO,BAXTER HOSPITALAR LTDA,PR136W7,15.000,,327222,2713/2011,13/06/2011,São Paulo - SP
BAXTER SOLUÇÃO,,,,,,,,
GLICOFIOSIOLOGICA,BAXTER HOSPITALAR LTDA,PR136X3,12.000,,327222,2713/2011,13/06/2011,São Paulo - SP
BEMINAL 30CPR,Eurofarma Laboratórios Ltda,199604,64,,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
BENESTARE COMP REV 625MG C/10,MEDLEY INDÚSTRIA,,,,,,,
(AG),FARMACEUTICA LTDA,11031707,,34,41251,1647/2011,01/09/2011,Brasilandia-SP
"",,,,,,,,R MANUEL ANTONIO
BENESTARE COMP REV 625MG C/10,SANOFI-AVENTIS COMERCIAL E,,,,,,,"FONSECA, 3-BRASILANDIA -"
(AG),LOGISTICA LTDA,11031707,34,,41521,1649/2011,01/09/2011,SP
BENICAR  20 MG - BLÍSTER 30,DAIICHI SANKYO BRASIL,,,,,,,
COMP.,FARMACEUTICA LTDA,10398,105,,26013,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 20 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10398,35,,25989,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 20 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10398,35,,26007,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 20 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10398,35,,26010,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 20 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10398,70,,26016,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 20 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10398,35,,26019,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 40 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10629,20,,26007,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 40 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10629,60,,26013,64/2011,16/07/2011,Professor Jamil - GO
"",DAIICHI SANKYO BRASIL,,,,,,,
BENICAR 40 MG - 30 COMP. REV.,FARMACEUTICA LTDA,10629,60,,26016,64/2011,16/07/2011,Professor Jamil - GO
"BENICAR HCT 20 MG/12,5 MG -  30",DAIICHI SANKYO BRASIL,,,,,,,
COMP. REV.,FARMACEUTICA LTDA,10399,35,,26007,64/2011,16/07/2011,Professor Jamil - GO
"BENICAR HCT 20 MG/12,5 MG -",DAIICHI SANKYO BRASIL,,,,,,,
COMP. REV.,FARMACEUTICA LTDA,10399,35,,26013,64/2011,16/07/2011,Professor Jamil - GO
"BENICAR HCT 20 MG/12,5 MG -",DAIICHI SANKYO BRASIL,,,,,,,
BLISTER 30 COMP. REV.,FARMACEUTICA LTDA,10399,35,,25989,64/2011,16/07/2011,Professor Jamil - GO
"BENICAR HCT 20 MG/12,5 MG -",DAIICHI SANKYO BRASIL,,,,,,,
BLÍSTER 30 COMP. REV.,FARMACEUTICA LTDA,10399,35,,26010,64/2011,16/07/2011,Professor Jamil - GO
"BENICAR HCT 20 MG/12,5 MG -",DAIICHI SANKYO BRASIL,,,,,,,
BLÍSTER 30 COMP. REV.,FARMACEUTICA LTDA,10399,35,,26016,64/2011,16/07/2011,Professor Jamil - GO
BENICAR HCT 40 MG/25 MG -,DAIICHI SANKYO BRASIL,,,,,,,
BLÍSTER 30 COMP.,FARMACEUTICA LTDA,10396,20,,26010,64/2011,16/07/2011,Professor Jamil - GO
BENICAR HCT 40 MG/25 MG -,DAIICHI SANKYO BRASIL,,,,,,,
BLÍSTER 30 COMP. REV.,FARMACEUTICA LTDA,10396,20,,26016,64/2011,16/07/2011,Professor Jamil - GO
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
BENICAR HCT 40 MG/25 MG 30,DAIICHI SANKYO BRASIL,,,,,,
COMP.REV.,FARMACEUTICA LTDA,10396,20,26007,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 20 MG/5 MG -,DAIICHI SANKYO BRASIL,,,,,,
BLÍSTER 30 COMP. REV.,FARMACEUTICA LTDA,10404,105,26017,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 20 MG/5 MG -,,,,,,,
BLÍSTER 30 COMP.,DAIICHI SANKYO BRASIL,,,,,,
REV+A794ESTIDOS,FARMACEUTICA LTDA,10404,35,26014,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 20 MG/5 MG -,,,,,,,
BLÍSTER 30 COMPRIMIDOS,DAIICHI SANKYO BRASIL,,,,,,
REVESTIDOS,FARMACEUTICA LTDA,10404,35,26008,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG / 5 MG -,DAIICHI SANKYO BRASIL,,,,,,
BLISTER 30 COMP. REV.,FARMACEUTICA LTDA,10494,35,25990,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG/10 MG -,,,,,,,
BLÍSTER 30 COMPROMIDOS,DAIICHI SANKYO BRASIL,,,,,,
REVESTIDOS,FARMACEUTICA LTDA,40406,35,26008,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG/5 MG -,DAIICHI SANKYO BRASIL,,,,,,
BLÍSTER 30  COMP. REV.,FARMACEUTICA LTDA,10494,35,26014,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG/5 MG -,DAIICHI SANKYO BRASIL,,,,,,
BLÍSTER 30  COMP. REV.,FARMACEUTICA LTDA,10619,35,26020,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG/5 MG -,DAIICHI SANKYO BRASIL,,,,,,
BLÍSTER 30 COMP. REV.,FARMACEUTICA LTDA,10494,72,26017,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG/5 MG -,DAIICHI SANKYO BRASIL,,,,,,
BLÍSTER 30 COMP. REV.,FARMACEUTICA LTDA,10619,68,26017,64/2011,16/07/2011,Professor Jamil - GO
BENICARANLO 40 MG/5 MG -,,,,,,,
BLÍSTER 30 COMPRIMIDOS,DAIICHI SANKYO BRASIL,,,,,,
REVESTIDOS,FARMACEUTICA LTDA,10494,35,26011,64/2011,16/07/2011,Professor Jamil - GO
BENZILPEN 5000000UI CX C/50 FA,AGILA MARKETING E DISTRIB. DE,,,,,,
"",,Z611003,48,5193,13614603,04/11/2011,CARIACICA - ES
S/DIL,PROD. HOSP. LTDA,,,,,,
"",CIMED INDÚSTRIA DE,,,,,,
BEPANTRIZ 50 MG/G POM. BG 30 G,MEDICAMENTOS LTDA,11B0259,200,132167,F410223030850-2011,23/03/2011,João Monlevade - MG
"",CIMED INDÚSTRIA DE,,,,,,
BEPANTRIZ 50 MG/G POM. BG 30 G,MEDICAMENTOS LTDA,1103701,36,159049,970929,30/08/2011,Carté-MG
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163434,30,,2011-1380465,21/10/2011,
"",Ltda,,,,,,Petrolândia –
BEPANTRIZ 50 MG/G POM. BG 30 G,,,,,,,Contagem/MG
"",,,,,,,Rua Refinaria Gabriel
"",CIMED Indústria de Medicamentos,,,,,,"Passos, 437,"
"",,163521,6,,2011-1380465,21/10/2011,
"",Ltda,,,,,,Petrolândia –
BEPANTRIZ 50 MG/G POM. BG 30G,,,,,,,Contagem/MG
BETAMETASONA DIPROP+FOSF INJ,,,,,,,
"",Eurofarma Laboratórios Ltda,,546,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
1ML,,208623A,,,,,
BETATRINTA INJ 1ML,Eurofarma Laboratórios Ltda,209812A,312,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
BETNOVATE CREME 15G,GLAXOSMITHKLINE BRASIL LTDA,QC0060,120,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE CREME 15G OR,GLAXOSMITHKLINE BRASIL LTDA,QC0061V,60,109761,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE CREME 30G,GLAXOSMITHKLINE BRASIL LTDA,QJ0023V,960,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE CREME 30G,GLAXOSMITHKLINE BRASIL LTDA,QH107V,24,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QJ0023V,60,109740,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QJ0023V,60,109758,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
BETNOVATE CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QJ0023V,120,109761,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE LOÇÃO 50G,GLAXOSMITHKLINE BRASIL LTDA,OG002,96,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE N CREME 30G,GLAXOSMITHKLINE BRASIL LTDA,PP00887V,168,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE N CREME 30G OR,GLAXOSMITHKLINE BRASIL LTDA,PP0088V,60,109753,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE N POMADA 30G,GLAXOSMITHKLINE BRASIL LTDA,QA0128V,48,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE POMADA 15G,GLAXOSMITHKLINE BRASIL LTDA,QD0161V,276,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE POMADA 15G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0161V,60,109740,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE POMADA 15G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0161V,60,109749,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE POMADA 15G OR,GLAXOSMITHKLINE BRASIL LTDA,QD0161V,120,109761,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE POMADA 30G,GLAXOSMITHKLINE BRASIL LTDA,QB0059V,60,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE POMADA 30G,GLAXOSMITHKLINE BRASIL LTDA,QA0127V,60,,508/2011,13/09/2011,GOITUBA-GO
BETNOVATE POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QB0059V,60,109740,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QB0059V,60,109749,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BETNOVATE POMADA 30G OR,GLAXOSMITHKLINE BRASIL LTDA,QB0059V,60,109761,02898/1918/2011,29/11/2011,RIO DE JANEIRO - RJ
BEUM 300MG 30CPR,Eurofarma Laboratórios Ltda,212459,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
BIOFLAC 10MG,CRISTÁLIA PROD. QUIM. FARMAC,10074993,34,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
BIOFLAC 15MG,CRISTÁLIA PROD. QUIM. FARMAC,10129081,156,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
"BIOFLAC 7,5MG",CRISTÁLIA PROD. QUIM. FARMAC,10129085,78,495871,01926/1918/2011,18/08/2011,S. J. MERITI - RJ
"",HERBARIUM LABORATÓRIO,,,,,,
BIOSLIM QUITOSANA 350MG CAPS,"BOTÂNICO LTDA,",116271,2,71185,987681,03/10/2011,CAJATI - SP
"",HERBARIUM LABORATÓRIO,,,,,,
BIOSLIM QUITOSANA 350MG CAPS,"BOTÂNICO LTDA,",116271,10,71187,987681,03/10/2011,CAJATI - SP
BIVICERIN 100 flaconetes,GEYER MEDICAMENTOS S.A,10.009.34,50,39882,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
BIVICERIN 100 flaconetes,GEYER MEDICAMENTOS S.A,10.009.34,60,39880,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
BIVICERIN 6 flaconetes,GEYER MEDICAMENTOS S.A,10.009.31,88,39882,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
BIVICERIN 6 flaconetes,GEYER MEDICAMENTOS S.A,10.009.31,88,39880,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
"",FRESENIUS HEMOCARE BRASIL,,,,,,
BOLSA TRIPLA,LTDA,71DI14AD00,144,16549,3959/2011,26/05/2011,São Paulo - SP
BONVIVA 150MG 1 CLAQ,PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(IBANDRONATO DE SÓDIO),FARMACÊUTICOS S.A,RJ0377,233,86251,C1057529,16/07/2011,RESSAQUINHA - MG
BREVIBLOC 10 MG/ML - SOL INJ - 20,CRISTÁLIA PRODUTOS QUÍMICOS,,,,,,
FA X 10 ML,FARMACÊUTICOS LTDA.,10128844,5 cxs,0443976,447/2011,03/05/2011,Registro - SP
BROMAZEPAM 3MG 30CPR (B1),Eurofarma Laboratórios Ltda,,100,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,206340,,,,,
BUFFERIN CARDIO 81 MG 30 CT,NOVARTIS BIOCIÊNCIAS S/A,4493,28,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
BUFFERIN CARDIO 81 MG 30 CT,NOVARTIS BIOCIÊNCIAS S/A,4493,512,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",MULTILAB IND E COM DE,,,,,,
"",PRODUTOS FARMACÊUTICOS,,,,,,
BUPROVIL 300MG,LTDA,KE0224,1 CX (4.800 CP),30970,M7114-2011-0023534,20/06/2011,Pouso Alegre - MG
"",MULTILAB IND E COM DE,,,,,,
"",PRODUTOS FARMACÊUTICOS,,,,,,
BUPROVIL 300mg,LTDA,KE 0224,1000,30970,,20/06/2011,
CADUET 5MG X 10 COMP,LABORATÓRIOS PFIZER LTDA.,004CD005Y,,186705,2011/09910.0-000145,27/08/2011,Japaratuba - SE
"",DEG IMPORTAÇÃO DE PROD.,,,,,,
CAFEINA ANIDRA,,201102023,"400,00 kg",,10696/2011,26/11/2011,SÃO PAULO - SP
"",QUIMICOS LTDA,,,,,,
Medicamento,Empresa,No lote,"Quantidade Roubada/Furtada/Extraviada",No Nota Fiscal,No Boletim de Ocorrência,"Data do rouboou extravio",Local do roubo ou extravio
CAFEINA ANIDRA,"DEG IMPORTAÇÃO DE PROD.QUIMICOS LTDA",201102022,"550,00 kg",,10696/2011,26/11/2011,SÃO PAULO - SP
CALAMED AEROSOL FR 120 G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102789,3,158942,970929,30/08/2011,Carté-MG
CALAMED AEROSOL FR 120 G,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102789,3,158952,970929,30/08/2011,Carté-MG
CALAMED CREME BG 28 G,"CIMED Indústria de MedicamentosLtda",163513,24,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
CALAMED CREME BG 28 GR,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102707,12,159049,970929,30/08/2011,Carté-MG
CALAMED CREME BG 28 GR,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102707,3,158942,970929,30/08/2011,Carté-MG
CALAMED CREME BG 28 GR,"CIMED INDÚSTRIA DEMEDICAMENTOS LTDA",1102707,3,158952,970929,30/08/2011,Carté-MG
CALAMED LOÇÃO PÓS SOL,"CIMED Indústria de MedicamentosLtda",163524,15,,2011-1380465,21/10/2011,"Rua Refinaria GabrielPassos, 437,Petrolândia –Contagem/MG"
CALCATRE 600+M 60 CP,"WYETH INDÚSTRIAFARMACÊUTICA LTDA",68348,24,18051,89368,14/02/2011,Governador Valadares - MG
CALCIUM SANDOZ F 500 MG 10 EFV,NOVARTIS BIOCIÊNCIAS S/A,11005,250,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
CALDÊ,"MARJAN INDÚSTRIA E COMÉRCIOLTDA",10124281,72,26762,REDS 2011-000272934-001,14/02/2011,Governador Valadares - MG
CALSAN 500 MG 30 CP MAST,NOVARTIS BIOCIÊNCIAS S/A,Z0050,20,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",WYETH INDUSTRIA,,,,,,
"",FARMACEUTICA LTDA,,,,,,
CALTRATE 600+M 30 COMP,WYETH IND. FARMACÊUTICA,73935,48,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
CALTRATE 600+M 60 COMP,"WYETH INDUSTRIAFARMACEUTICA LTDA",71590,24,25251,"5,82011E+11",29/11/2011,DECARGA - BA
CALTRATE 600+M 60 COMP,WYETH IND. FARMACÊUTICA,71590,24,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
CALTRATE D+400UI 30 COMP,"WYETH INDUSTRIAFARMACEUTICA LTDA",F53228,72,25251,"5,82011E+11",29/11/2011,DECARGA - BA
CALTRATE D+400UI 30 COMP,WYETH IND. FARMACÊUTICA,F53228,72,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
CALTRATE D+400UI 60 COMP,"WYETH INDUSTRIAFARMACEUTICA LTDA",F64382,36,25251,"5,82011E+11",29/11/2011,DECARGA - BA
CALTRATE D+400UI 60 COMP,WYETH IND. FARMACÊUTICA,F64382,36,25251,582011000380,29/11/2011,"CONCEIÇÃO DO JACUIPE -BA"
"CANDESARTANA CILEXETILA 16MG30TAB BR",SANDOZ DO BRASIL IND. FARM.,BR0457AA,64,"51652, 51879,51878, 51877,51993, 51997,51974, 51972,52059",02898/1918/2011,29/11/2011,MACAÉ - RJ
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
CANDESARTANA CILEXETILA 16MG,,,,"51974, 51972,",,,
30TAB BR,SANDOZ DO BRASIL IND. FARM.,BR0457AA,64,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",,,,"51652, 51879,",,,
"",,,,"51878, 51877,",,,
"",,,,"51993, 51997,",,,
CANDESARTANA CILEXETILA 16MG,,,,"51974, 51972,",,,
30TAB BR,SANDOZ DO BRASIL IND. FARM.,BE5928AA,50,52059,02898/1918/2011,29/11/2011,MACAÉ - RJ
"",CIMED INDÚSTRIA DE,,,,,,
CAPTOMED 25 mg 1 X 20 comp.,MEDICAMENTOS LTDA,4355/10,2,3964,555/2011,23/02/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,
CAPTOMED 25 mg 3 X 30 comp.,MEDICAMENTOS LTDA,2589/09,1,3964,555/2011,23/02/2011,São Paulo - SP
"",CIMED INDÚSTRIA DE,,,,,,
CAPTOMED 25 MG COMP 1 BL X 20,MEDICAMENTOS LTDA,1103271,12,158922,970929,30/08/2011,Carté-MG
CAPTOPRIL 25 MG COMP 1,CIMED INDÚSTRIA DE,,,,,,
BL X 30,MEDICAMENTOS LTDA,1103480,100,158942,970929,30/08/2011,Carté-MG
CAPTOPRIL 25 MG COMP 1,CIMED INDÚSTRIA DE,,,,,,
BL X 30,MEDICAMENTOS LTDA,1103480,100,158952,970929,30/08/2011,Carté-MG
CARTRAX  CREME VAGINAL 35 G,LABORATÓRIOS PFIZER LTDA.,1 026,,186710,2011/09910.0-000145,,Jabotão dos Guararapes-PE
CATAFLAM 150G ARTRITE,NOVARTIS BIOCIÊNCIAS S/A,W0003,60,271422,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
CATAFLAM 150G ARTRITE,NOVARTIS BIOCIÊNCIAS S/A,W0003,12,271422,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
CATAFLAM AEROSOL 60 G,NOVARTIS BIOCIÊNCIAS S/A,Z0529,240,271420,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"CATAFLAM EMULGEL 11,6G/G 60G",NOVARTIS BIOCIÊNCIAS S/A,W0054,315,271421,287/2011,20/09/2011,RAFAEL JAMBEIRO-BA
"",,,,,,,AV. JOAO PESSOA -
CEBION 1G COMP EFERV,MERCK S.A.,C101041,72,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
CEBION 20% GOTAS 30ML,MERCK S.A.,BR28658C,36,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
CEBION 2G COMP EFERV,MERCK S.A.,C101352,12,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
CEBION ACEROLA COMP EFERV,MERCK S.A.,C101384,36,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
CEBION CALCIO COMP EFERV,MERCK S.A.,C101680,36,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
CEBION GLICOSE 10 ENV,MERCK S.A.,BR31388A,6,186483,308-4279/2011,03/10/2011,FORTALEZA
"",,,,,,,AV. JOAO PESSOA -
CEBION ZINCO COMP EFERV,MERCK S.A.,C101526,48,186483,308-4279/2011,03/10/2011,FORTALEZA
CEFADROXILA 500MG 8CAP,Eurofarma Laboratórios Ltda,,140,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,212518,,,,,
CEFALEXINA 250MG SUS,Eurofarma Laboratórios Ltda,,240,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,206866,,,,,
CEFALEXINA 500MG  8CPR,Eurofarma Laboratórios Ltda,,72,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,208644,,,,,
CEFALEXINA 500MG 10CPR,Eurofarma Laboratórios Ltda,,360,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,208915,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401619,120,5155,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",,,Quantidade Roubada/,,,Data do roubo,
Medicamento,Empresa,No lote,Furtada/Extraviada,No Nota Fiscal,No Boletim de Ocorrência,ou extravio,Local do roubo ou extravio
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401620,1008,5157,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401619,54,5183,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401619,60,5184,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401620,200,5189,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401620,108,5191,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401619,25,5192,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401540,1000,5219,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401620,108,5233,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
"",AGILA MARKETING E DISTRIB. DE,,,,,,
CEFLEN 1G CX C/ 50FA S/DIL,,7401620,50,5302,13614603,04/11/2011,CARIACICA - ES
"",PROD. HOSP. LTDA,,,,,,
CEFTRIAXONA SOD 1G INJ,Eurofarma Laboratórios Ltda,,216,50934,"5,82011E+11",29/11/2011,RECIFE-BAIRRO DO BARRO
"",,212273A,,,,,
CELAPRAM 20 MG 2 BL X 15 COMP,MERCK S.A.,BR29840,3,168324,4017/2011,19/07/2011,S. Lourenço da Serra - SP
CELEBRA 100MG 20 COMP,LABORATÓRIOS PFIZER LTDA.,BI0015,,186707,2011/09910.0-000145,27/08/2011,Japaratuba - SE
CELEBRA 200MG 10 CAPS,LABORATÓRIOS PFIZER LTDA.,BI0040,,186707,2011/09910.0-000145,27/08/2011,Japaratuba - SE
CELEBRA 200MG 30 COMP,LABORATÓRIOS PFIZER LTDA.,BI0033,,186707,2011/09910.0-000145,27/08/2011,Japaratuba - SE
CELLCEPT 500MG 50 CLAQ,PRODUTOS ROCHE QUÍMICOS E,,,,941637 Comunicação,,
(MICOFENOLATO DE MOFETILA),FARMACÊUTICOS S.A,M2578B01,2,86252,C1057529,16/07/2011,RESSAQUINHA - MG
CELLTRIAXON 1G IV CX C/ 100FA,AGILA MARKETING E DISTRIB. DE,,,,,,
"",,7401612,25,5184,13614603,04/11/2011,CARIACICA - ES
S/DIL,PROD. HOSP. LTDA,,,,,,
CELLTRIAXON 1G IV CX C/ 100FA,AGILA MARKETING E DISTRIB. DE,,,,,,
"",,7401614,100,5194,13614603,04/11/2011,CARIACICA - ES
S/DIL,PROD. HOSP. LTDA,,,,,,
CELLTRIAXON 1G IV CX C/ 100FA,AGILA MARKETING E DISTRIB. DE,,,,,,
"",,7401614,30,5195,13614603,04/11/2011,CARIACICA - ES
S/DIL,PROD. HOSP. LTDA,,,,,,
CELLTRIAXON 1G IV CX C/ 100FA,AGILA MARKETING E DISTRIB. DE,,,,,,
"",,7401616,102,5348,13614603,04/11/2011,CARIACICA - ES
S/DIL,PROD. HOSP. LTDA,,,,,,
"",WYETH INDUSTRIA,,,,,,
CENTRUM 100 COMP,,F10999,48,24799,7468/2011,23/11/2011,ITAPEVI - SP
"",FARMACEUTICA LTDA,,,,,,
CENTRUM 100 COMP,WYETH IND. FARMACÊUTICA,F10999,48,24799,7468/2011,23/11/2011,ITAPEVI - SP
