Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/ Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
4394,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1805000206,1 unidade,202,245/2021,01/02/2021,Pirassununga,SP
4395,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1805000208,1 unidade,202,245/2021,01/02/2021,Pirassununga,SP
4396,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1805000210,1 unidade,202,245/2021,01/02/2021,Pirassununga,SP
4397,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1806000888,1 unidade,460,245/2021,01/02/2021,Pirassununga,SP
4398,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1806000890,1 unidade,460,245/2021,01/02/2021,Pirassununga,SP
4399,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1806000896,1 unidade,460,245/2021,01/02/2021,Pirassununga,SP
4400,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1808000733,1 unidade,573,245/2021,01/02/2021,Pirassununga,SP
4401,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1808000737,1 unidade,573,245/2021,01/02/2021,Pirassununga,SP
4402,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1808000739,1 unidade,573,245/2021,01/02/2021,Pirassununga,SP
4403,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1808000740,1 unidade,573,245/2021,01/02/2021,Pirassununga,SP
4404,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1808000744,1 unidade,573,245/2021,01/02/2021,Pirassununga,SP
4405,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000493,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
4406,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000494,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
4407,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000495,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
4408,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000497,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
4409,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000498,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
4410,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000499,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
4411,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000503,1 unidade,734,245/2021,01/02/2021,Pirassununga,SP
4412,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000930,1 unidade,773,245/2021,01/02/2021,Pirassununga,SP
4413,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000933,1 unidade,773,245/2021,01/02/2021,Pirassununga,SP
4414,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000935,1 unidade,773,245/2021,01/02/2021,Pirassununga,SP
4415,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000938,1 unidade,773,245/2021,01/02/2021,Pirassununga,SP
4416,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,1810000941,1 unidade,773,245/2021,01/02/2021,Pirassununga,SP
4417,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,2574159743,1 unidade,13319,245/2021,01/02/2021,Pirassununga,SP
4418,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7067160564,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4419,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7067160566,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4420,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7067160568,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4421,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7067160569,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4422,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160607,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4423,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160610,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4424,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160615,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4425,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160617,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4426,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160618,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4427,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160619,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4428,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160620,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4429,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160621,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4430,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160624,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4431,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160628,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4432,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160630,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4433,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160632,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4434,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160633,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4435,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160634,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4436,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160635,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4437,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7068160636,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4438,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160805,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4439,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160807,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4440,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160808,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4441,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160809,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4442,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160810,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4443,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160811,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4444,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160812,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4445,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160813,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4446,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160814,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
4447,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160818,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4448,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160819,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4449,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160820,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4450,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160821,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4451,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160822,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4452,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160823,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4453,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160824,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4454,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160825,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4455,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160826,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4456,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160828,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4457,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160832,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4458,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160833,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4459,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160834,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4460,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160835,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4461,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160837,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4462,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160838,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4463,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160839,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4464,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160841,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4465,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160842,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4466,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160843,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4467,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7367160845,1 unidade,13694,245/2021,01/02/2021,Pirassununga,SP
4468,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158951,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4469,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158952,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4470,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158954,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4471,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158957,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4472,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158959,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4473,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158960,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4474,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158961,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4475,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158962,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4476,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158963,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4477,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158964,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4478,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158965,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4479,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158970,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4480,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158971,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4481,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158973,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4482,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158976,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4483,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158977,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4484,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158978,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4485,X-SMART IQ BASIC STARTER KIT,Dentsply Ind. E Com. Ltda,7543158979,1 unidade,13679,245/2021,01/02/2021,Pirassununga,SP
4486,X-SMART PLUS,Dentsply Ind. E Com. Ltda,00071562,1 unidade,72949,245/2021,01/02/2021,Pirassununga,SP
4487,X-SMART PLUS,Dentsply Ind. E Com. Ltda,00084983,1 unidade,771,245/2021,01/02/2021,Pirassununga,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
4488,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000488,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4489,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000495,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4490,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000497,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4491,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000499,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4492,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000502,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4493,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000510,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4494,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000518,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4495,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000521,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4496,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000522,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4497,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000536,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4498,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000565,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4499,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000575,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4500,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000578,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4501,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000581,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4502,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000616,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4503,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000629,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4504,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000633,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4505,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000684,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4506,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000706,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4507,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000712,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4508,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000724,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4509,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000729,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4510,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000733,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4511,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000740,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4512,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000743,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4513,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000752,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4514,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000770,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4515,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000790,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4516,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000792,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4517,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000813,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4518,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000832,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4519,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1812000837,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4520,X-SMART PLUS,Dentsply Ind. E Com. Ltda,1901000112,1 unidade,859,245/2021,01/02/2021,Pirassununga,SP
4521,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100072493,1 unidade,72949,245/2021,01/02/2021,Pirassununga,SP
4522,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100072620,1 unidade,72949,245/2021,01/02/2021,Pirassununga,SP
4523,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100073701,1 unidade,72949,245/2021,01/02/2021,Pirassununga,SP
4524,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100091038,1 unidade,1125,245/2021,01/02/2021,Pirassununga,SP
4525,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100091123,1 unidade,1125,245/2021,01/02/2021,Pirassununga,SP
4526,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100091187,1 unidade,1125,245/2021,01/02/2021,Pirassununga,SP
4527,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092270,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4528,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092272,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
4529,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092273,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4530,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092278,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4531,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092280,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4532,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092328,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4533,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092331,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4534,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092335,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4535,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092337,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4536,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092340,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4537,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092341,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4538,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092493,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4539,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092596,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4540,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092598,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4541,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092606,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4542,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092608,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4543,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092640,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4544,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092648,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4545,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092649,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4546,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100092715,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4547,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093505,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4548,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093512,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4549,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093517,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4550,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093520,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4551,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093522,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4552,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093523,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4553,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093524,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4554,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093545,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4555,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093559,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4556,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093561,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4557,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093625,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4558,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093626,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4559,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093627,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4560,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093628,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4561,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093641,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4562,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093642,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4563,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093643,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4564,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093644,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4565,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093665,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4566,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093666,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4567,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093667,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4568,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093714,1 unidade,1236,245/2021,01/02/2021,Pirassununga,SP
4569,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093725,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
Ordem,Produto*,Empresa*,No de Série/ Lote*,"Quantidade Roubada/ Furtada/Extraviada*",No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade*,UF*
4570,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093726,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4571,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093727,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4572,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100093728,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4573,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094498,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4574,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094499,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4575,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094500,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4576,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094501,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4577,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094502,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4578,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094504,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4579,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094506,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
4580,X-SMART PLUS,Dentsply Ind. E Com. Ltda,2100094507,1 unidade,1440,245/2021,01/02/2021,Pirassununga,SP
