4996,SYSTANEUL,ALCON,70833,1,0,0,880887,182/2020-0,09/01/2020,BRASÍLIA,DF
4997,TADALAFILA 20MG 2 CPS,"PRATI, DONADUZZI E CIA LTDA",20E909,20,20,0,493935,2020-060619004-001,17.12.2020,Sábara,MG
4998,TADALAFILA 20MG 20X3 CPS,"PRATI, DONADUZZI E CIA LTDA",20A05H,"1,000",1,1,306915,2020/334228,07/03/2020,CORONEL VIVIDA,PR
4999,TADALAFILA 20MG 20X3 CPS,"PRATI, DONADUZZI E CIA LTDA",19J138,1 UNIDADE,1,1,379474,-,-,-,PR
5000,TADALAFILA 20MG 20X3 CPS-FRAC,PRATIDONADUZZI & CIA LTDA,19G98N,1,-,-,000137015-1,20E2141000053,04/01/2020,CABO DE SANTO AGOSTINHO,PE
5001,TADALAFILA 20MG 4 CPS,"PRATI, DONADUZZI E CIA LTDA",20E983,20,20,0,493935,2020-060619004-001,17.12.2020,Sábara,MG
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
5002,TADALAFILA 20MG 8 CPS,"PRATI, DONADUZZI E CIA LTDA",20A286,4 unidades,4,4,316375,-,06/05/2020,-,PR
5003,TADALAFILA 20MG 8CPS,"PRATI, DONADUZZI E CIA LTDA",18F202,2 unidades,2,2,309048,-,06/04/2020,-,PR
5004,TADALAFILA 5MG C/28CPRV/NEO,DISLAB - GO,B19D1674,12UN,-,-,202955,3228/2019,19/11/2019,JUNDIAI,SP
5005,TALTZ AUTOINJECTOR 80MG X 1PEND BL,Eli Lilly do Brasil,D150889CD,45,1002,186,331075,150682229,26/05/2020,"BR-153, Trevo Panamá - Zona Rural - Panamá, Goiás",GO
5006,TAMARINE,HYPERA,B19K0697,4 CAIXAS,XXXX,XXXX,172756,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5007,TAMARINE CAP 12MG CT 48X2X10,COSMED IND COSM MED S/A,B19M0567,480,957,0,704006,14023985,28/02/2020,19 km após Bela Vista de Goiás - GO 020,GO
5008,TAMISA,"EUROFARMA LABORATORIOSS.A.",636509,1,N/A,0,11283228,2341/2020,05/03/2020,São Paulo,SP
5009,TAMISA 30MCG C/21 DRAGEAS,"EUROFARMA LABORATORIOSS.A.",649939,1,-,-,11309338,2114/2020,06/03/2020,GUARUJÁ,SP
5010,TAMOXIFENO 20MG CX C/30CP,BLAU FARMACEUTICA S/A,20090409,2 CAIXAS,,,386340,17432833,10/12/2020,Aparecida de Goiânia,GO
5011,TAMSULON (BL ZOD) 0.4 MG CAP/30,"ZODIAC PRODUTOSFARMACÊUTICOS S.A.",91292,400,6.806,1.103,215576,308 - 977 / 2019,21/02/2019,BR116 MESSEJANA FORTALEZA,CE
5012,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1936629,5 UN,42386 UN,70 UN,000218175-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
5013,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947796,6 UN,Não se aplica para Distribuidoras,5555 UN,000267128-1,535/2020,08/07/2020,Guarujá,SP
5014,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1949073,6 CARTUCHOS,31.620,0,136846,2020-028954010-001,17/06/2000,VARGINHA,MG
5015,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2008347,4,13195,0,159968,16078925,31/07/2020,SÃO PAULO,SP
5016,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2008347,12,13195,0,160014,16078925,31/07/2020,SÃO PAULO,SP
5017,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2008347,24,13195,0,160061,16078925,31/07/2020,SÃO PAULO,SP
5018,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2008347,2,13195,0,160175,16078925,31/07/2020,SÃO PAULO,SP
5019,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011824,2 UN,Não se aplica para Distribuidoras,27 UN,000283481-1,16455213,01/09/2020,São Paulo,SP
5020,TANDRIFLAN COM X 15,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1947796,2 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",36 UN,000278926-1,16238742,24/08/2020,BIRIGUI,SP
5021,TANDRIFLAN COM X 15,"UNIAÕ QUÍMICA FARMACÊUTICANACIONAL",2008349,12,6.620,0,165606,2020-042771923-001,04/09/2020,CONTAGEM,MG
5022,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1921239,6 UN,20738 UN,10 UN,000218100-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
5023,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1921239,12 UN,20738 UN,10 UN,000218175-1,44/2020 e 49/2020 Complementar,11 e 14/01/2020,Brotas,SP
5024,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1919115,1,9.078,0,119443,14285380,19/03/2020,CAMPINAS,SP
5025,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2011829,3 UN,Não se aplica para Distribuidoras,0 UN,000267128-1,535/2020,08/07/2020,Guarujá,SP
5026,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1949074,4 CARTUCHOS,42.626,0,136846,2020-028954010-001,17/06/2020,VARGINHA,MG
5027,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,6,4300,0,159969,16078925,31/07/2020,SÃO PAULO,SP
5028,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,6,4300,0,159994,16078925,31/07/2020,SÃO PAULO,SP
5029,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,12,4300,0,160014,16078925,31/07/2020,SÃO PAULO,SP
5030,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,2,4300,0,160013,16078925,31/07/2020,SÃO PAULO,SP
5031,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,3,4300,0,160207,16078925,31/07/2020,SÃO PAULO,SP
5032,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,3,4300,0,160201,16078925,31/07/2020,SÃO PAULO,SP
5033,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,2,4300,0,160175,16078925,31/07/2020,SÃO PAULO,SP
5034,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,12,4300,0,160182,16078925,31/07/2020,SÃO PAULO,SP
5035,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2011829,6,4300,0,160119,16078925,31/07/2020,SÃO PAULO,SP
5036,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2017584,2 UN,Não se aplica para Distribuidoras,0 UN,000283481-1,16455213,01/09/2020,São Paulo,SP
5037,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2032740,1 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",0 UN,000300475-1,4316/2020,03/11/2020,CAMPINAS,SP
5038,TANDRIFLAN COM X 30,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2032740,3 UN,"NÃO SE APLICA PARADISTRIBUIDORAS",0 UN,000300284-1,4316/2020,03/11/2020,CAMPINAS,SP
5039,TANDRILAX C/15 COMP,"ACHE LABORATORIOSFARMACEUTICOS SA",1911061,1,N/A,0,11283228,2341/2020,05/03/2020,São Paulo,SP
5040,TANDRILAX C/15 COMP,"ACHE LABORATORIOSFARMACEUTICOS SA",1911885,1,-,-,11306869,2114/2020,06/03/2020,GUARUJÁ,SP
5041,TANDRILAX C/15 COMP,"ACHE LABORATORIOSFARMACEUTICOS SA",1911886,1,-,-,11306869,2114/2020,06/03/2020,GUARUJÁ,SP
5042,"TANTIN 0,60+0,015MG C/28 COMP","BIOLAB SANUS FARMACEUTICALTDA",1042598,3,-,-,11299401,2114/2020,06/03/2020,GUARUJÁ,SP
5043,TAP KIDS 15% LOCAO CREMOSA X 100 ML,PRODUTOS FARMACÊUTICOS,2019461,2,-,-,168845,20E2141001736,06/08/2020,SÃO LOURENÇO DA MATA,PE
5044,TARGOCID 400MG C/1F/A+DIL ADULT.PEDIAT.,ELFA MEDICAMENTOS S.A.,0J2931,15 CAIXA,-,820,N°.000205178,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
5045,"TARGOCID 400MG PO LIOF.INJ. CX. C/ FA + DIL X 3ML(ANTIB.)","SANOFI MEDLEY FARMACÊUTICALTDA.",0J2511,1400,N/A,1776,6292,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
5046,TASIGNA 150MG 120 CS,NOVARTIS BIOCIENCIAS S.A,SUL48,1,N/A,0,954,1215/2020,24/07/2020,"Rodovia Presidente Dutra, após pedagio de Guararema",-
5047,TASIGNA 200MG CX C/112 COMP.,ELFA MEDICAMENTOS S.A.,SUD15,1 CAIXA,-,13,N°.000205275,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
5048,Taxofen 20mg cp,Blau Farmaceutica,20010142,1 caixa ( 30cp),,1,340396,1604/2020,02/04/2020,Central Clinic – Santo André,SP
5049,"TECENTRIQ 1200MG/20ML1VIAL IV BR",ROCHE,H0172B17,03 UNIDADES,1.158 UNIDADES,30 UNIDADES,360778,69 / 2020,17/03/2020 ÀS 05:40H,"DURANTE A ENTREGA DE PRODUTOS ROCHE AOCLIENTE FUND ANTONIO PRUDENTE-SP.",SP
5050,TECENTRIQ 1200MG/20ML 1VIAL IV,ELFA MEDICAMENTOS S.A.,H0182B12,3 CAIXA,-,22,N°.000205121,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
5051,TEGRETOL,Novartis,2014980,100,14701,6542,198376,2020-031260497-001,30/06/2020,CONTAGEM,MG
5052,TEGRETOL,Novartis,1947294,100,45301,32033,198376,2020-031260497-001,30/06/2020,CONTAGEM,MG
5053,TEGRETOL,Novartis,1944415,36,19901,3347,198378,2020-031260497-001,30/06/2020,CONTAGEM,MG
5054,TEGRETOL,Novartis,2006338,80,13881,0,198378,2020-031260497-001,30/06/2020,CONTAGEM,MG
5055,TEGRETOL,Novartis,2012973,36,21001,15545,198378,2020-031260497-001,30/06/2020,CONTAGEM,MG
5056,Tegretol CR,Novartis Biociências S/A,1902737,41 unidades,-,-,"136032150264",2585/2020/983003,07/02/2020,Porto Alegre,RS
5057,TEIPLAN 400 MG PO INJ FA E DIL,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1946304,90 CARTUCHOS,12.135,0,388517,2020-004042643-001,13/01/2020,CONTAGEM,MG
5058,TEIPLAN 400 MG PO INJ FA E DIL,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1948501,29 CARTUCHOS,10.593 CT,0,391400,931-45062/2020,14/01/2020,FORTALEZA,CE
5059,Telebrix Coronar,Guerbet Produtos Radiológicos Ltda,19TC302A,25 FRASCOS,12531 FRASCOS,1350 FRASCOS,143416,021-12203/2019-01,25/11/2019,BONSUCESSO,RJ
5060,Telebrix Coronar,Guerbet Produtos Radiológicos Ltda,19TC302A,10 FRASCOS,2110 FRASCOS,1470 FRASCOS,143416,021-12203/2019-01,25/11/2019,BONSUCESSO,RJ
5061,TEMODAL SACHET 100 MG X 5 CP(VELHO),ELFA MEDICAMENTOS S.A.,S040633,9 CAIXA,-,11,N°.000205233,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
5062,TEMODAL SACHET 250 MG X 5 CP,ELFA MEDICAMENTOS S.A.,S039608,1 CAIXA,-,1,N°.000205317,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
5063,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1850163,1 UN,31149 UN,31 UN,000215208-1,13370507,06/01/2020,Goiás,GO
5064,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1850163,12 UN,31149 UN,31 UN,000219226-1,274/2020,17/01/2020,Grajaú,MA
5065,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1850163,6 UN,31149 UN,46 UN,000219359-1,350/2020,20/01/2020,ITAQUERA,SP
5066,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",2020535,2 UN,Não se aplica para Distribuidoras,5647 UN,000267128-1,535/2020,08/07/2020,Guarujá,SP
5067,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2020535,3,1584,0,160001,16078925,31/07/2020,SÃO PAULO,SP
5068,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2020535,1,1584,0,160104,16078925,31/07/2020,SÃO PAULO,SP
5069,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2020535,1,1584,0,160125,16078925,31/07/2020,SÃO PAULO,SP
5070,TENOXICAM 20MG COM REV X 10,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL",2020535,1,1584,0,160119,16078925,31/07/2020,SÃO PAULO,SP
5071,TERBINAFINA CLD 250MG 14 CPS,"PRATI, DONADUZZI E CIA LTDA",20B90H,6,6,0,424561,2020-018151005-001,16/04/2020,Contagem,MG
5072,TERBINAFINA CLD 250MG 28CPS,"PRATI, DONADUZZI E CIA LTDA",20B87H,2 unidades,2,2,317227,514234/2020,07/05/2020,CAMPO DO SANTANA,PR
5073,TERBINAFINA HCL 10MG/G CR 20G GEN,LABORATÓRIO TEUTO BRASILEIRO,3376029,1260 CAIXAS,7.976,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5074,TERBINAFINA HCL 250MG COMP C/28 GEN,LABORATÓRIO TEUTO,63400012,40 CAIXAS,1822,327,675600,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
5075,TERBINAFINA HCL 250MG COMP C/28 GEN,LABORATÓRIO TEUTO BRASILEIRO,63400014,240 CAIXAS,2.046,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5076,"TESS 2,0/0,035MG COM REV X 21","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1925577,4,134736,106525,160011,16078925,31/07/2020,SÃO PAULO,SP
5077,"TESS 2,0/0,035MG COM REV X 21","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1925577,1,134736,106489,160024,16078925,31/07/2020,SÃO PAULO,SP
5078,"TESS 2,0/0,035MG COM REV X 21","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1925577,1,134736,106489,160104,16078925,31/07/2020,SÃO PAULO,SP
5079,"TESS 2,0/0,035MG COM REV X 21","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1925577,12,134736,106489,160175,16078925,31/07/2020,SÃO PAULO,SP
5080,"TESS 2,0/0,035MG COM REV X 21","UNIÃO QUÍMICA FARMACÊUTICANACIONAL",1925577,1,134736,106489,160119,16078925,31/07/2020,SÃO PAULO,SP
5081,"TESS 2,0/0,035MG COM REV X21 AG","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1920230,1 UN,Não se aplica para Distribuidoras,0 UN,000227024-1,BO 20-02101,07/04/2020,Simões Filho,BA
5082,"TESS 2,0/0,035MG COM REV X21 AG","UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1925307,134 UN,Não se aplica para Distribuidoras,0 UN,000227024-1,BO 20-02101,07/04/2020,Simões Filho,BA
5083,TETRACICLINA CLD 500MG 12 CAPS,"PRATI, DONADUZZI E CIA LTDA",19K14B,2 UNIDADES,2,2,320489,-,-,-,PR
5084,TETRACICLINA CLD 500MG 14X10 CAPS-FRAC,"PRATI, DONADUZZI E CIA LTDA",19J10C,2,2,0,417769,2020-014722225-001,24.03.2020,Ribeirão das Neves,MG
5085,TETRACICLINA HCL 500MG CAPS C/ 8 GEN,LABORATÓRIO TEUTO BRASILEIRO,5913085,1000 CAIXAS,11.744,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5086,TETRALYSAL 150MG 16 CAPS,"GALDERMA DISTRIBUIDORA DOBRASIL",201,"72,000",19.000,0,15209,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
5087,TETRALYSAL 300MG 16 CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",827,72,23.217,11952,19.053,"42834908 (presencial) e42842637 (online/internet)",27/07/2020,"ROD-ES 297, entre munícipio de Apiacá e o distrito deSanto Eduardo",-
5088,TETRALYSAL 300MG 16CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",827,"72,000",23.217,17280,15148,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
5089,TETRALYSAL 300MG 28CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",824,"24,000",34.626,19488,15083,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
5090,TETRALYSAL 300MG 28CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",824,"24,000",34.626,19488,15098,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
5091,TETRALYSAL 300MG 28CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",824,"120,000",34.626,19488,15148,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
5092,TETRALYSAL 300MG 28CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",824,"24,000",34.626,19488,15199,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
5093,TETRALYSAL 300MG 28CPS,"GALDERMA DISTRIBUIDORA DOBRASIL",824,"24,000",34.626,19488,15209,20E2141000900,28/03/2020,"ROD FEDERAL GOV MARIO COVAS, 01 -RIBEIRAO/PERNAMBUCO/BRASIL. CEP 55500-000",-
Ordem,Produto*,Empresa*,No Lote*,"Quantidade Roubada/ Furtada/Extraviada*","Quantidade Fabricada/Importada",Quantidade Estoque,No Nota Fiscal*,No Boletim de Ocorrência*,Data do roubo ou extravio*,Cidade,UF
5094,TEUPANTOL DERMA CREME 20G,LABORATÓRIO TEUTO BRASILEIRO,43830001,2250 CAIXAS,17.085,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5095,TEUPANTOL DERMA CREME 20G,LABORATÓRIO TEUTO BRASILEIRO,43830002,2790 CAIXAS,19.634,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5096,TEUPANTOL DERMA SOL 50ML,LABORATÓRIO TEUTO BRASILEIRO,43840001,6100 CAIXAS,26.258,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5097,TEUTOVIT E 400MG CAPS C/30,LABORATÓRIO TEUTO BRASILEIRO,1692250,700 CAIXAS,11.357,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5098,TEUTOVIT E 400MG CAPS C/30,LABORATÓRIO TEUTO BRASILEIRO,1692251,1300 CAIXAS,19.309,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5099,TEUTOVIT E 400MG CAPS C/30,LABORATÓRIO TEUTO BRASILEIRO,1692252,300 CAIXAS,19.390,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5100,TEUTOZOL 20MG CAPS C/28,LABORATÓRIO TEUTO,5085046,200 CAIXAS,75252,452,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
5101,TEUTOZOL 20MG CAPS C/28,LABORATÓRIO TEUTO BRASILEIRO,5085049,300 CAIXAS,76.441,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5102,TEUTOZOL 20MG CAPS C/56,LABORATÓRIO TEUTO,5086031,100 CAIXAS,37175,106,675598,20200530142832400,30/05/2020,SANTO ANTONIO DO DESCOBERTO,GO
5103,"THYMOGLOBULINE 25MG/5ML CXC/1FA+DILUEN",ELFA MEDICAMENTOS S.A.,9W3517,13 CAIXA,-,204,N°.000205185,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
5104,"THYROGEN 1,1MG CA C/2 FA C/PO SOLUCAODE USO INTRAMUSCULAR",ELFA MEDICAMENTOS S.A.,9Y0084,1 CAIXA,-,65,N°.000205124,229/220,19/08/2020,"RODOVIA BR 050 , 1 UBERABA",MG
5105,TILATIL 20MG 10 TAB,MYLAN LABORATÓRIOS LTDA,F0008F02,50,25.000,789,8392,40924725,11/10/2019,AEROPORTO DE VITÓRIA,-
5106,TILATIL 20MG 10 tab,MYLAN LABORATÓRIOS LTDA,F0008F02,50,25.000,789,8392,40924725,11/10/2019,Aeroporto de Vitória,-
5107,TILESTAL,"MYRALIS INDÚSTRIA FARMACÊUTICALTDA",1915140,100 UNIDADES (CARTUCHOS),8830 UNIDADES (CARTUCHOS),0,000020534,1578971/2020,13/10/2020,Guarulhos,SP
5108,TILESTAL,"MYRALIS INDÚSTRIA FARMACÊUTICALTDA",1915138,5 UNIDADES (CARTUCHOS),8776 UNIDADES (CARTUCHOS),0,000.807.406,43451995,20/10/2020,Serra,ES
5109,TILESTAL,"MYRALIS INDÚSTRIA FARMACÊUTICALTDA",1915139,36 UNIDADES (CARTUCHOS),8805 UNIDADES (CARTUCHOS),0,000018366,43451995,20/10/2020,Serra,ES
5110,TILESTAL,"MYRALIS INDÚSTRIA FARMACÊUTICALTDA",1915139,2 UNIDADES (CARTUCHOS),8805 UNIDADES (CARTUCHOS),0,000.912.099,2020-051076086-001,21/10/2020,Contagem,MG
5111,TILESTAL,"MYRALIS INDÚSTRIAFARMACÊUTICA LTDA",1915138,60 UNIDADES (CARTUCHOS),"8776 UNIDADES(CARTUCHOS)",0,000.946946,43489194,26/10/2020,SERRA,ES
5112,TILESTAL,"MYRALIS INDÚSTRIAFARMACÊUTICA LTDA",2003788,72 CARTUCHOS (2 VOLUMES),"8769 UNIDADES(CARTUCHOS)",0,0000.29553,20I0319130841,10/11/2020,JABOATÃO DOS GUARARAPES,PE
5113,"TIMOLOL MAL 0,5% SOL OFTAL FR GEN",LABORATÓRIO TEUTO BRASILEIRO,2666178,1 CAIXA,56.552,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5114,"TIMOLOL MAL 0,5% SOL OFTAL FR GEN",LABORATÓRIO TEUTO BRASILEIRO,2666183,4 CAIXAS,57.170,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5115,"TIMOLOL MAL 0,5% SOL OFTAL FR GEN",LABORATÓRIO TEUTO BRASILEIRO,2666185,4200 CAIXAS,54.414,0,NA,836/2020,19/09/2020,CALAN EMPRE. IMOBILIÁRIO SP LTDA,SP
5116,TINIDAZOL+MICONAZOL CR VG.,"PRATI, DONADUZZI E CIA LTDA",20E78E,312,1.300,1300,211570,15250279,11/06/2020,GOIÂNIA,GO
5117,TIOCONAZOL+TINIDAZOL CR VAG 35G+APL,"PRATI, DONADUZZI E CIA LTDA",20C91B,4 UNIDADES,4,4,379474,-,-,-,PR
5118,TIOCONAZOL+TINIDAZOL CR VAG 35G+APL,"PRATI, DONADUZZI E CIA LTDA",20D717,6 UNIDADES,6,6,320489,-,-,-,PR
5119,TIOCONAZOL+TINIDAZOL CR VAG 35G+APL,"PRATI, DONADUZZI E CIA LTDA",20H11X,2,2,0,493920,2020-060619004-001,17.12.2020,Sábara,MG
5120,TIOCONAZOL+TINIDAZOL CR VG 35G+APL,PRATI DONADUZZI & CIA LTDA,19J11C,3,-,-,000139021-1,20E2141000365,31/01/2020,MORENO,PE
5121,TIORFAN,BAGO,N004,5 CAIXAS,XXXX,XXXX,172756,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5122,TIORFAN,BAGO,N004,18 CAIXAS,XXXX,XXXX,172760,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5123,TIORFAN,BAGO,N004,34 CAIXAS,XXXX,XXXX,172790,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5124,TIORFAN,BAGO,N004,87 CAIXAS,XXXX,XXXX,172791,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5125,TIORFAN,BAGO,N004,28 CAIXAS,XXXX,XXXX,172792,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5126,TIORFAN,BAGO,N004,12 CAIXAS,XXXX,XXXX,172794,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5127,TIORFAN,BAGO,N004,7 CAIXAS,XXXX,XXXX,172797,918-00081/2020,21/02/2020,"AVENIDA PARIS, 00, BAIRRO BONSUCESSO,MUNICÍPIO: RIO DE JANEIRO",RJ
5128,TIORFAN 10 MG X 18 SACHES,Laboratórios Bagó do Brasil S.A,N003,168 unidades,14.994 unidades,21.317 unidades,31165,2496/2020,09/03/2020,São Paulo,SP
5129,TIORFAN 30 MG X 18 SACHES,Laboratórios Bagó do Brasil S.A,N004,144 unidades,20.190 unidades,51 unidades,31165,2496/2020,09/03/2020,São Paulo,SP
5130,TOBRACORT 1MG/ML COLIRIO 5ML,"UNIÃO QUÍMICA FARMACÊUTICANACIONAL S/A",1948478,1 FRASCO,,1,44,3438 / 2020 / 100425,21/05/2020,DROGARIA,-
5131,TOBRADEX COL 5ML,"MUNDIPHARMA BRASIL PRODSMEDICOS E",71420,1,-,-,11309338,2114/2020,06/03/2020,GUARUJÁ,SP
